Id,CreationDate,PostId,RelatedPostId,LinkTypeId
42256,2010-09-21T12:01:49.993,2892,2860,1
42257,2010-09-21T12:01:49.993,2892,2572,1
45213,2010-09-22T19:57:07.510,2938,2918,1
45431,2010-09-23T00:07:53.880,2867,2512,1
45432,2010-09-23T00:07:53.880,2867,2662,1
46450,2010-09-23T14:00:53.890,485,414,1
46451,2010-09-23T14:00:53.890,485,1761,1
48195,2010-09-24T17:10:13.167,2990,2867,1
48196,2010-09-24T17:10:13.167,2990,2512,1
48197,2010-09-24T17:10:13.167,2990,2662,1
48587,2010-09-24T20:03:19.883,3061,3062,1
48709,2010-09-24T22:08:31.900,2828,1826,1
49737,2010-09-26T04:18:22.370,1001,411,1
51512,2010-09-27T09:27:46.207,3091,1995,1
51513,2010-09-27T09:27:46.207,3091,2628,1
53725,2010-09-28T15:09:09.177,3139,2269,1
54696,2010-09-29T04:14:33.570,3100,2966,1
56446,2010-09-30T10:00:33.277,3167,257,1
56522,2010-09-30T11:01:26.817,3156,2639,1
59018,2010-10-01T06:50:47.047,3201,1848,1
59019,2010-10-01T06:50:47.047,3201,2689,1
59020,2010-10-01T06:50:47.047,3201,1,1
59021,2010-10-01T06:50:47.047,3201,2563,1
60212,2010-10-01T23:13:10.240,3038,305,1
60213,2010-10-01T23:13:10.240,3038,726,1
60286,2010-10-02T00:22:45.570,3207,2917,1
60919,2010-10-02T17:02:16.737,534,36,1
62187,2010-10-03T16:58:24.917,3276,2957,1
63529,2010-10-04T17:03:03.287,3286,1001,1
64695,2010-10-05T10:46:46.770,3270,3287,1
65209,2010-10-05T15:27:47.130,3338,3286,1
65383,2010-10-05T18:08:48.860,1904,1906,1
65866,2010-10-05T23:09:37.450,2291,369,1
66354,2010-10-06T14:00:18.030,3359,2066,1
66575,2010-10-06T17:05:16.630,203,10,1
67211,2010-10-07T01:33:23.730,3238,2777,1
67212,2010-10-07T01:33:23.730,3238,3331,1
67552,2010-10-07T08:27:38.447,3244,2956,1
67842,2010-10-07T11:40:47.740,2910,2768,1
68036,2010-10-07T14:21:18.873,3369,1576,1
68037,2010-10-07T14:21:18.873,3369,2742,1
68038,2010-10-07T14:21:18.873,3369,612,1
68409,2010-10-07T17:42:22.793,3200,1016,1
68410,2010-10-07T17:42:22.793,3200,3252,1
68438,2010-10-07T17:48:50.563,3331,2777,1
68439,2010-10-07T17:48:50.563,3331,3238,1
68816,2010-10-07T22:07:29.863,3333,2483,1
69573,2010-10-08T13:04:25.090,3392,3244,1
69793,2010-10-08T16:25:56.220,3287,3270,1
70012,2010-10-08T20:11:54.853,3395,3199,1
70711,2010-10-09T14:21:03.240,346,3372,1
71072,2010-10-09T19:06:14.173,134,3372,1
71553,2010-10-10T06:27:50.687,138,75,1
72473,2010-10-10T19:36:49.383,2197,1385,1
73232,2010-10-11T16:15:41.227,3468,790,1
74418,2010-10-12T09:49:10.433,3460,1980,1
74639,2010-10-12T13:03:05.247,3458,2306,1
74640,2010-10-12T13:03:05.247,3458,2410,1
74930,2010-10-12T16:05:37.680,1062,1045,1
76682,2010-10-13T14:20:45.460,3526,1133,1
78440,2010-10-14T09:00:32.247,1441,1430,1
79545,2010-10-14T19:09:39.960,3599,3561,1
80174,2010-10-15T06:16:17.187,3586,359,1
80535,2010-10-15T12:27:40.243,3549,3561,1
80633,2010-10-15T14:41:18.447,3589,328,1
80923,2010-10-15T16:34:25.503,3383,2067,1
81335,2010-10-15T19:15:43.437,3324,563,1
81650,2010-10-15T20:56:50.930,1610,22,1
82884,2010-10-17T07:46:22.890,3542,3158,1
83998,2010-10-18T07:17:51.353,3661,1015,1
83999,2010-10-18T07:17:51.353,3661,527,1
85270,2010-10-18T21:01:49.937,3685,2597,1
86097,2010-10-19T06:44:37.880,1224,499,1
86853,2010-10-19T12:15:32.677,973,7,1
86903,2010-10-19T12:39:51.600,3194,30,1
87342,2010-10-19T15:02:42.843,3713,3685,1
87463,2010-10-19T15:38:38.653,499,3200,1
87464,2010-10-19T15:38:38.653,499,3252,1
87465,2010-10-19T15:39:26.010,3101,685,1
88210,2010-10-19T20:11:33.810,3746,213,1
88211,2010-10-19T20:11:33.810,3746,2493,1
89036,2010-10-20T07:14:44.497,1015,3661,1
89037,2010-10-20T07:14:44.497,1015,3539,1
90125,2010-10-20T15:51:18.400,3752,3556,1
90394,2010-10-20T17:34:06.563,3762,1015,1
91229,2010-10-20T22:08:02.913,3810,539,1
91230,2010-10-20T22:08:02.913,3810,548,1
91231,2010-10-20T22:08:24.087,3704,3653,1
92603,2010-10-21T13:06:39.040,3463,3115,1
92604,2010-10-21T13:06:39.040,3463,1881,1
92726,2010-10-21T14:19:36.777,3556,3752,1
92801,2010-10-21T15:08:19.070,3845,3708,1
94250,2010-10-22T07:59:16.863,3822,3672,1
95316,2010-10-22T16:08:30.297,3069,1595,1
95485,2010-10-22T17:04:53.970,3814,3460,1
95486,2010-10-22T17:04:53.970,3814,499,1
95584,2010-10-22T18:08:58.443,3879,3842,1
96141,2010-10-23T01:35:01.237,1337,423,1
96168,2010-10-23T02:40:22.717,3818,206,1
97223,2010-10-23T21:20:45.230,3734,643,1
97538,2010-10-24T05:13:12.123,3911,1611,1
98127,2010-10-24T15:40:58.223,3926,575,1
98128,2010-10-24T15:40:58.223,3926,1266,1
98157,2010-10-24T15:57:33.730,3943,3730,1
98752,2010-10-24T23:15:48.420,3958,3,1
98753,2010-10-24T23:15:48.420,3958,73,1
98754,2010-10-24T23:15:48.420,3958,1676,1
100255,2010-10-26T06:40:40.130,2032,652,1
100497,2010-10-26T09:16:23.343,1576,612,1
100498,2010-10-26T09:16:23.343,1576,2742,1
100499,2010-10-26T09:16:23.343,1576,3369,1
101352,2010-10-26T16:52:18.300,3893,3252,1
101476,2010-10-26T18:29:36.767,3907,3611,1
101669,2010-10-26T20:57:01.117,3999,2691,1
101936,2010-10-27T07:47:44.123,4013,665,1
102009,2010-10-27T09:13:38.853,4009,1015,1
102058,2010-10-27T10:02:57.963,3989,4017,1
104677,2010-10-31T22:06:31.780,4093,222,1
105234,2010-11-01T20:16:11.423,4112,4052,1
106296,2010-11-02T19:53:28.473,4142,4146,1
106602,2010-11-03T09:09:57.773,4150,899,1
112612,2010-11-04T20:10:51.410,2576,2401,1
116088,2010-11-05T13:26:28.697,4172,859,1
122839,2010-11-07T21:23:52.717,4298,4220,1
122840,2010-11-07T21:23:52.717,4298,3316,1
123791,2010-11-08T13:03:59.790,4312,4175,1
124142,2010-11-08T17:07:23.187,4175,4312,1
126543,2010-11-09T20:19:21.777,4364,4354,1
126569,2010-11-09T20:20:10.280,4354,4364,1
131345,2010-11-12T01:05:10.917,4466,1980,1
131371,2010-11-12T01:06:02.117,1980,4466,1
132522,2010-11-12T18:35:44.253,4485,3207,1
132523,2010-11-12T18:35:44.253,4485,2917,1
134924,2010-11-15T00:04:47.847,4500,4530,1
136400,2010-11-16T01:24:41.597,4568,4539,1
136426,2010-11-16T01:27:37.787,4569,939,1
137577,2010-11-17T02:04:27.980,4606,4298,1
142554,2010-11-19T12:53:56.067,4708,2492,1
142955,2010-11-19T18:55:37.990,4734,1576,1
143731,2010-11-20T07:22:34.180,4753,4267,1
148507,2010-11-23T22:12:47.100,4839,3270,1
149433,2010-11-24T08:17:17.930,4854,4272,1
149909,2010-11-24T15:23:39.757,4877,138,1
151785,2010-11-26T02:28:34.553,4914,834,1
151811,2010-11-26T02:38:57.230,4914,577,1
151812,2010-11-26T02:49:02.967,4914,3392,1
153113,2010-11-26T20:40:10.367,4949,4942,1
153839,2010-11-27T21:53:19.193,118,354,1
154340,2010-11-28T16:10:35.183,4970,4766,1
156886,2010-11-30T11:26:15.537,5026,1521,1
156887,2010-11-30T11:26:15.537,5026,6,1
159238,2010-12-02T10:32:08.750,5078,1797,1
160039,2010-12-03T05:23:38.893,5097,5093,1
168040,2010-12-06T10:30:50.983,5181,5107,1
170516,2010-12-06T21:08:37.530,5191,5011,1
175642,2010-12-08T10:43:56.633,5249,5238,1
175668,2010-12-08T10:44:32.560,5238,5249,1
180594,2010-12-09T18:55:54.103,5306,3702,1
181695,2010-12-10T10:45:21.350,5333,5171,1
182821,2010-12-10T20:34:45.087,5359,1576,1
185122,2010-12-12T08:57:36.850,5382,1848,1
189248,2010-12-14T03:00:55.933,5450,5184,1
189774,2010-12-14T12:01:50.953,5465,4768,1
190875,2010-12-14T21:37:07.637,4991,2149,1
191901,2010-12-15T16:18:49.770,5517,152,1
193027,2010-12-16T01:07:58.103,5542,1,1
193228,2010-12-16T03:31:59.043,5542,5181,1
195354,2010-12-17T02:04:31.350,5560,3194,1
195380,2010-12-17T05:14:00.007,5572,3466,1
199681,2010-12-20T08:12:15.523,5591,1164,1
203933,2010-12-22T19:16:53.487,5700,2432,1
204934,2010-12-23T16:59:38.200,4172,527,1
206110,2010-12-24T09:22:15.240,5724,4334,1
208111,2010-12-26T00:13:23.910,5750,5747,1
208962,2010-12-26T20:51:31.313,5728,4830,1
213138,2010-12-30T15:28:18.800,5819,4220,1
214739,2010-12-31T13:17:04.137,4551,5808,1
217790,2011-01-03T13:13:27.307,5912,2234,1
217991,2011-01-03T14:19:28.973,5914,125,1
218142,2011-01-03T15:39:49.490,5912,6,1
218418,2011-01-03T19:02:13.633,5918,2306,1
227119,2011-01-06T14:09:13.953,6033,5700,1
229245,2011-01-07T01:23:05.013,6050,5360,1
231296,2011-01-07T17:01:57.093,6066,6050,1
231322,2011-01-07T17:27:20.893,6063,4551,1
233298,2011-01-08T11:26:07.863,6081,2492,1
233299,2011-01-08T11:26:07.863,6081,2824,1
235025,2011-01-09T00:52:24.720,6093,421,1
238301,2011-01-10T06:10:09.517,6118,421,1
238302,2011-01-10T06:10:09.517,6118,170,1
238303,2011-01-10T06:10:09.517,6118,6093,1
240104,2011-01-10T20:55:33.080,6139,5750,1
240605,2011-01-10T23:23:45.340,6147,5504,1
242506,2011-01-11T20:29:50.207,6171,4756,1
242507,2011-01-11T20:39:46.790,6169,3921,1
244059,2011-01-12T16:30:18.477,6200,6199,1
246510,2011-01-13T16:56:51.473,6226,5686,1
246936,2011-01-13T19:34:53.727,6219,6039,1
247062,2011-01-13T20:38:45.723,6234,3158,1
247213,2011-01-13T22:33:59.550,6151,3006,1
248389,2011-01-14T12:51:06.517,6234,4211,1
248665,2011-01-14T15:07:52.407,6243,6096,1
250266,2011-01-15T12:30:49.343,6232,6264,1
255817,2011-01-18T12:42:18.833,6302,6268,1
255868,2011-01-18T13:45:26.137,6337,6127,1
256019,2011-01-18T15:08:22.770,6342,6337,1
258145,2011-01-19T14:03:26.690,6353,2619,1
258646,2011-01-19T18:21:32.877,6379,5171,1
259772,2011-01-20T03:11:20.873,6400,6308,1
260323,2011-01-20T11:14:39.803,6355,6314,1
261149,2011-01-20T22:36:35.873,6418,6358,1
261475,2011-01-21T03:00:17.697,6421,1883,1
262101,2011-01-21T16:05:37.493,6433,5347,1
263702,2011-01-22T16:48:43.590,6452,5774,1
263953,2011-01-22T19:55:55.903,6454,3652,1
265604,2011-01-23T21:02:17.347,6475,5617,1
266830,2011-01-24T09:14:21.577,6478,5443,1
267056,2011-01-24T13:23:25.423,6487,4030,1
268357,2011-01-25T07:17:08.103,6499,5782,1
269533,2011-01-25T19:03:49.157,6538,414,1
269759,2011-01-25T20:19:06.593,1875,2275,1
272210,2011-01-26T23:48:06.377,6599,5196,1
272286,2011-01-27T03:57:02.040,6601,155,1
272512,2011-01-27T10:46:55.933,6604,4517,1
273064,2011-01-27T16:41:24.367,2272,2182,1
273990,2011-01-28T03:21:31.250,6652,2356,1
274591,2011-01-28T13:42:10.470,2641,665,1
274592,2011-01-28T13:49:56.767,6664,5700,1
274968,2011-01-28T21:58:45.680,6670,168,1
276844,2011-01-30T23:25:45.730,2356,6493,1
277470,2011-01-31T15:02:49.837,6652,1525,1
277496,2011-01-31T16:41:29.710,6753,798,1
277572,2011-01-31T17:09:40.430,6753,5573,1
278798,2011-02-02T05:37:39.263,2356,2272,1
279749,2011-02-03T03:21:25.470,6814,1028,1
279950,2011-02-03T08:54:35.743,6807,6780,1
280001,2011-02-03T10:08:29.563,2742,6575,1
280202,2011-02-03T15:32:19.737,6840,6814,1
281653,2011-02-04T12:53:22.947,4350,2981,1
282204,2011-02-04T15:33:38.583,6883,6856,1
282255,2011-02-04T15:41:18.893,6867,5504,1
282331,2011-02-04T17:22:27.480,6876,6807,1
283507,2011-02-06T23:43:55.307,6943,3890,1
283783,2011-02-07T07:21:00.963,6950,6856,1
283784,2011-02-07T07:21:00.963,6950,1812,1
284385,2011-02-07T18:09:35.403,6966,1164,1
284411,2011-02-07T18:20:53.060,6967,6856,1
284887,2011-02-08T02:24:03.720,6976,1980,1
284963,2011-02-08T04:09:23.793,6978,6920,1
285664,2011-02-08T22:08:39.760,7002,6972,1
287515,2011-02-10T12:45:49.400,2492,7022,1
287591,2011-02-10T15:02:28.257,2492,2516,1
288492,2011-02-11T04:46:23.110,6225,3038,1
288593,2011-02-11T07:29:34.343,7080,871,1
288619,2011-02-11T07:49:36.707,7074,6455,1
288670,2011-02-11T09:09:36.490,7084,7022,1
288671,2011-02-11T09:09:36.490,7084,2,1
288672,2011-02-11T09:09:36.490,7084,2492,1
290023,2011-02-12T09:00:13.610,7100,4239,1
290049,2011-02-12T12:45:45.220,7112,6478,1
290725,2011-02-13T09:11:20.547,7110,812,1
291076,2011-02-13T19:04:24.533,7152,1444,1
291077,2011-02-13T19:30:44.920,7155,213,1
291078,2011-02-13T19:30:44.920,7155,1444,1
291079,2011-02-13T19:34:36.383,7153,2770,1
291930,2011-02-14T08:29:00.943,7190,4023,1
291931,2011-02-14T08:32:27.500,7139,2245,1
292882,2011-02-15T00:38:53.070,7225,2121,1
294059,2011-02-15T18:50:27.753,7258,7209,1
295635,2011-02-16T18:01:53.207,7293,2615,1
295811,2011-02-16T20:04:50.140,7307,2547,1
295887,2011-02-16T21:18:23.143,7313,7115,1
295913,2011-02-16T21:19:21.663,7115,7313,1
296539,2011-02-17T13:19:55.850,1432,1412,1
297015,2011-02-17T17:54:43.730,7336,3532,1
297066,2011-02-17T18:18:42.083,7268,980,1
298917,2011-02-19T10:02:14.987,7390,7054,1
300143,2011-02-20T22:12:41.940,7426,7040,1
301369,2011-02-21T13:51:50.487,7450,6780,1
302320,2011-02-22T02:53:29.997,7476,2917,1
303321,2011-02-22T15:52:50.900,7505,4884,1
304047,2011-02-23T02:08:14.627,7476,7426,1
305448,2011-02-24T00:34:36.203,7528,7426,1
306149,2011-02-24T12:43:41.033,7546,5344,1
306175,2011-02-24T13:20:24.680,7521,6330,1
307227,2011-02-25T11:02:47.167,7610,3458,1
307478,2011-02-25T16:28:35.187,7613,2467,1
307729,2011-02-25T22:48:52.423,7638,3623,1
307880,2011-02-26T01:51:47.047,7637,3614,1
311781,2011-02-26T15:05:54.077,4383,4239,1
319107,2011-02-26T23:25:15.357,7668,6795,1
321258,2011-02-27T03:38:48.567,6907,7630,1
321259,2011-02-27T03:43:49.903,7630,6907,1
327210,2011-02-27T14:09:22.167,7675,3874,1
346836,2011-03-01T03:31:36.437,7732,7727,1
348312,2011-03-01T10:41:15.917,7738,6477,1
352413,2011-03-02T06:15:04.543,7661,7639,1
358039,2011-03-03T11:33:50.353,7742,4978,1
358590,2011-03-03T17:01:31.120,7829,6763,1
359916,2011-03-04T07:43:57.717,7865,7319,1
360117,2011-03-04T11:46:01.697,7813,256,1
360293,2011-03-04T15:52:46.693,7845,798,1
360294,2011-03-04T15:58:39.297,7845,4810,1
360495,2011-03-04T19:06:54.217,5733,7515,1
361796,2011-03-05T09:47:45.893,7910,7895,1
362647,2011-03-05T22:02:07.263,7912,7630,1
362648,2011-03-05T22:02:07.263,7912,6907,1
362974,2011-03-06T09:29:10.060,7923,203,1
362975,2011-03-06T09:56:37.317,7919,4612,1
365051,2011-03-07T16:00:55.957,7815,2516,1
365052,2011-03-07T16:01:39.653,2516,7815,1
365053,2011-03-07T16:05:24.577,7959,346,1
367429,2011-03-08T15:34:34.227,8021,7977,1
367530,2011-03-08T16:31:51.803,8025,1773,1
368081,2011-03-08T20:28:23.897,8033,5504,1
368157,2011-03-08T21:08:20.273,8029,5913,1
369233,2011-03-09T12:14:53.600,8071,3730,1
369759,2011-03-09T17:09:01.480,8063,3730,1
370960,2011-03-10T10:39:31.207,8103,7258,1
371386,2011-03-10T15:47:36.943,8116,7727,1
372637,2011-03-11T10:29:29.017,8147,5347,1
373613,2011-03-11T18:50:29.837,8168,2910,1
373864,2011-03-11T21:25:18.147,8159,5026,1
374090,2011-03-12T00:04:39.030,8185,7975,1
374316,2011-03-12T05:41:45.483,8180,2469,1
374517,2011-03-12T09:27:27.457,8196,8192,1
375168,2011-03-12T19:01:35.913,8185,7376,1
375344,2011-03-12T20:42:56.450,8196,7853,1
375745,2011-03-13T06:24:56.440,7853,8196,1
376121,2011-03-13T12:15:29.580,8225,138,1
376522,2011-03-13T15:25:27.140,8239,8232,1
376548,2011-03-13T15:26:27.017,8232,8239,1
376574,2011-03-13T15:41:33.727,8239,1761,1
377100,2011-03-13T22:57:55.997,8246,5534,1
377726,2011-03-14T11:35:52.580,8237,5135,1
379403,2011-03-15T05:44:31.633,8299,2828,1
379829,2011-03-15T09:55:29.517,8300,5750,1
380555,2011-03-15T15:07:21.937,8321,4099,1
380581,2011-03-15T15:38:39.997,8321,8237,1
381257,2011-03-15T22:12:37.067,8328,6364,1
381633,2011-03-16T03:52:18.080,7996,8340,1
382734,2011-03-16T16:01:28.817,8340,7996,1
382860,2011-03-16T16:17:24.263,8358,8187,1
383486,2011-03-16T22:54:57.383,8377,652,1
383512,2011-03-17T00:22:58.567,8377,170,1
383688,2011-03-17T02:56:04.387,8157,8021,1
383814,2011-03-17T04:05:18.467,8335,8358,1
385890,2011-03-18T00:09:34.093,8380,7772,1
386716,2011-03-18T11:36:48.053,8347,8419,1
386892,2011-03-18T14:23:47.573,8454,8187,1
387743,2011-03-19T00:23:09.530,8470,8419,1
387994,2011-03-19T04:38:15.237,8446,7542,1
388020,2011-03-19T04:48:23.963,8470,4220,1
388521,2011-03-19T12:37:55.060,8483,3386,1
389222,2011-03-20T00:47:40.440,8455,2906,1
389723,2011-03-20T10:52:52.753,8511,3559,1
390274,2011-03-20T21:25:51.090,8524,5171,1
390575,2011-03-21T05:56:28.897,8557,8513,1
390576,2011-03-21T07:48:30.397,8559,8236,1
392452,2011-03-22T06:18:34.753,8581,485,1
392478,2011-03-22T07:10:57.787,8586,841,1
392479,2011-03-22T07:36:39.120,8604,3400,1
392505,2011-03-22T07:39:48.327,8566,7813,1
392656,2011-03-22T09:17:06.703,8614,7238,1
392657,2011-03-22T09:17:06.703,8614,8116,1
392758,2011-03-22T11:18:37.540,8617,8358,1
392959,2011-03-22T14:48:48.810,8600,8419,1
392960,2011-03-22T14:48:48.810,8600,8573,1
393811,2011-03-22T23:34:52.233,8634,7630,1
393812,2011-03-22T23:34:52.233,8634,6907,1
394663,2011-03-23T11:27:58.067,8661,4832,1
397389,2011-03-24T21:06:38.517,8711,8710,1
398591,2011-03-25T13:47:26.717,8765,8749,1
398667,2011-03-25T14:57:27.470,8769,3947,1
398918,2011-03-25T17:42:03.530,8777,1708,1
399319,2011-03-26T01:07:46.083,8784,8718,1
400020,2011-03-26T16:01:56.090,8799,8797,1
400796,2011-03-27T02:11:59.363,8791,6498,1
401072,2011-03-27T09:09:00.517,7430,8104,1
401073,2011-03-27T09:09:00.517,7430,8477,1
404049,2011-03-28T15:37:13.200,8877,8846,1
404050,2011-03-28T15:37:13.200,8877,3634,1
410701,2011-03-29T13:38:45.687,8891,6195,1
419927,2011-03-30T10:41:18.003,8956,10,1
419928,2011-03-30T10:41:18.003,8956,8071,1
419929,2011-03-30T10:41:18.003,8956,3730,1
421655,2011-03-30T14:09:37.090,8960,8662,1
426956,2011-03-30T23:00:02.690,8972,1399,1
427407,2011-03-30T23:49:42.187,8987,8899,1
429208,2011-03-31T05:39:36.333,8996,6498,1
432659,2011-03-31T14:35:59.497,9009,1444,1
432660,2011-03-31T14:35:59.497,9009,298,1
434586,2011-03-31T19:03:44.373,6498,8955,1
435137,2011-03-31T20:17:46.807,8036,7467,1
435688,2011-03-31T22:01:16.360,9020,7419,1
435914,2011-03-31T22:47:40.173,9022,4364,1
437015,2011-04-01T03:04:21.120,9027,8502,1
442842,2011-04-01T16:52:54.773,9050,2086,1
443668,2011-04-01T19:29:44.780,9050,8370,1
447319,2011-04-02T10:20:17.783,9074,8370,1
447320,2011-04-02T10:20:17.783,9074,7419,1
447396,2011-04-02T10:27:54.843,9074,6890,1
448922,2011-04-02T16:43:58.003,9062,8774,1
450198,2011-04-03T01:32:41.200,5690,6601,1
456274,2011-04-04T20:14:22.640,9177,9171,1
456300,2011-04-04T20:14:39.317,9172,9171,1
457826,2011-04-05T13:11:14.307,9192,5918,1
458527,2011-04-05T16:48:46.693,9206,9201,1
458678,2011-04-05T18:00:41.607,9213,8742,1
458679,2011-04-05T18:02:10.607,9215,1521,1
461880,2011-04-06T14:41:20.213,9201,6127,1
462431,2011-04-06T19:25:10.130,9278,5092,1
462632,2011-04-06T20:54:39.503,9280,9131,1
465408,2011-04-07T17:12:29.680,9292,8570,1
465910,2011-04-07T21:51:47.187,9327,486,1
466386,2011-04-08T02:45:29.987,9333,8586,1
467387,2011-04-08T12:15:02.903,9349,2828,1
470738,2011-04-09T14:27:41.517,9381,9208,1
470789,2011-04-09T15:24:45.470,9383,8025,1
471390,2011-04-09T23:26:11.830,9377,9396,1
472091,2011-04-10T09:40:46.997,2715,8844,1
472617,2011-04-10T15:07:34.767,9311,4,1
472618,2011-04-10T15:09:11.910,4,9311,1
474519,2011-04-11T14:59:51.557,9435,9040,1
474520,2011-04-11T15:04:34.610,9427,4220,1
476146,2011-04-12T04:16:34.077,9454,203,1
476672,2011-04-12T07:48:54.910,9464,4756,1
476698,2011-04-12T08:21:07.880,9467,9341,1
476724,2011-04-12T08:22:27.880,9341,9467,1
476875,2011-04-12T10:15:16.007,9449,6309,1
477351,2011-04-12T15:23:59.010,9475,3331,1
477352,2011-04-12T15:23:59.010,9475,2777,1
477353,2011-04-12T15:23:59.010,9475,3238,1
477629,2011-04-12T17:30:25.407,9478,8285,1
477630,2011-04-12T17:33:03.457,9478,1112,1
477681,2011-04-12T18:37:37.817,6309,9464,1
480132,2011-04-13T17:28:34.960,9510,5347,1
481283,2011-04-14T05:58:16.247,9544,9341,1
481659,2011-04-14T10:55:13.413,9536,7,1
482486,2011-04-14T18:52:28.713,8007,7531,1
482862,2011-04-15T01:36:14.353,9501,7200,1
483263,2011-04-15T07:02:48.567,9573,2492,1
483264,2011-04-15T07:23:36.993,9573,1386,1
483790,2011-04-15T15:13:59.783,9587,9508,1
487966,2011-04-18T09:28:33.300,9667,6275,1
488717,2011-04-18T16:56:18.423,9691,9629,1
489093,2011-04-18T19:23:29.350,9691,1133,1
489144,2011-04-18T19:29:21.120,9691,9685,1
490120,2011-04-19T06:43:09.307,9725,5934,1
491671,2011-04-19T18:46:18.710,9759,5344,1
491722,2011-04-19T20:00:02.653,9759,8689,1
